,0
0,7.385814662819477
1,9.282899636432663
2,31.71289877862579
3,5.611467011045255
4,5.353942170009166
5,inf
6,inf
7,19.92894504615523
8,3.408075785678654
9,3.1421959185052657
10,4.227578670687813
11,3.16643024826555
12,3.969696774843185
13,4.762943363566137
14,8.181875810073237
15,inf
16,4.12659777855008
17,5.180822315078258
18,inf
19,5.7071958317599165
20,7.178498414115232
21,4.05183691788982
22,inf
23,6.1541670672786895
24,inf
25,inf
26,22.2711393889303
27,2.4229933001005515
28,2.079567487395033
29,13.489372154299963
30,4.732911900631766
31,inf
32,inf
33,inf
34,inf
35,inf
36,3.3378057240031334
37,inf
38,inf
39,1.7777549864952973
40,inf
41,inf
42,3.5391372404995005
43,4.430361470967731
44,inf
45,3.160172214621689
46,2.1054578808782516
47,2.2803160115962173
48,inf
49,6.725776513006122
50,1.8640781916596896
51,inf
52,inf
53,3.7692760532653877
54,5.6782947535432795
55,inf
56,inf
57,21.239899448046256
58,3.382715135565057
59,5.362669142832932
60,8.25335214553413
61,10.889305137147279
62,4.801889063076085
63,7.824997463258771
64,4.179828773949332
65,inf
66,6.986213542380621
67,inf
68,inf
69,16.15498491209366
70,1.4488504867620182
71,1.5422912522906844
72,inf
73,inf
74,3.299229769865922
75,2.055558894857517
76,2.2258903603531848
77,2.6502078408955003
78,1.872397197106375
79,2.1358760183363663
80,6.9122900487734595
81,2.263048678742772
82,inf
83,1.1027274255420152
84,3.864544311000418
85,3.0967474241733264
86,2.085667759927966
87,inf
88,inf
89,3.0148119964413658
90,inf
91,3.8626114397027855
92,6.683934297941929
93,8.242890596082734
94,6.041257923868249
95,inf
96,8.049602477814815
97,4.04224239962799
98,inf
99,3.083639125749995
100,inf
101,inf
102,5.082536166563061
103,inf
104,5.641081011260174
105,5.81769909432224
106,1.1166891243785302
107,1.1300023239325299
108,1.1001915462894156
109,1.31591013128782
110,5.698990055724364
111,inf
112,2.6133159265323784
113,2.538291712776958
114,3.3876135938690064
115,13.88948756933335
116,2.2046996349139056
117,inf
118,inf
119,2.309304464969938
120,inf
121,inf
122,9.217960642213166
123,4.227027611593706
124,6.884970138722058
125,11.765845080971001
126,2.240275138609173
127,9.494779117176432
128,6.892472551087813
129,4.148035483556529
130,4.751055543823444
131,inf
132,inf
133,3.267582444481762
134,2.2575923580731496
135,8.089654759304178
136,3.345239264138457
137,31.894018993750706
138,3.398446850455442
139,4.429488662469937
140,11.991053689457534
141,27.39205943927555
142,26.922092045636884
143,11.455486630404096
144,9.68396129970212
145,3.428375617322046
146,inf
147,inf
148,inf
149,9.093391390417334
150,inf
151,9.780428894904318
152,inf
153,inf
154,inf
155,inf
156,4.825558415775186
157,1.9994948163086044
158,inf
159,inf
160,inf
161,3.5555576365253643
162,3.378667715233965
163,2.874197707557575
164,2.148038311787628
165,3.0136302062496982
166,5.264962605231919
167,1.8211844153631862
168,inf
169,3.4986074016418174
170,1.7040910929294804
171,1.8221179672776664
172,2.6716027280103454
173,2.7302858456421246
174,4.119344197806356
175,3.717375895985208
176,2.2691285081235124
177,17.223591939251605
178,inf
179,3.5310370294911557
180,1.9390726464740613
181,10.180664612784211
182,10.213318309479943
183,inf
184,inf
185,inf
186,15.08144473788845
187,inf
188,inf
189,inf
190,inf
191,inf
192,inf
193,10.92216240533492
194,2.657641551254419
195,inf
196,3.9089941334664053
197,inf
198,2.7589237672517752
199,inf
200,inf
201,inf
202,4.507708845605995
203,5.708635265534936
204,1.9419917861404237
205,inf
206,1.6710539426441513
207,2.078484212421576
208,inf
209,3.4499759160402497
210,inf
211,2.975343777990976
212,inf
213,8.15646999544224
214,3.9120351139109486
215,2.9284526516290823
216,inf
217,7.510665181192117
218,4.205420217161865
219,6.7026841762900915
220,8.109190594861632
221,inf
222,inf
223,18.198917555762083
224,3.2298727965202785
225,11.441987717848304
226,3.257764451662671
227,2.0699401143665273
228,1.6214298112163088
229,1.8912858374243466
230,7.94948675873327
231,inf
232,2.647115558697277
233,2.627733680969105
234,inf
235,inf
236,inf
237,10.496633367116932
238,3.6596861120522357
239,3.758242138762827
240,3.42057061837725
241,inf
242,4.703381858937176
243,3.1481863990814736
244,2.4468993688444423
245,inf
246,3.70058904994571
247,3.29188374076766
248,2.7762571166639054
249,inf
250,6.609991104824445
251,inf
252,inf
253,inf
254,inf
255,2.752075906571739
256,inf
257,inf
258,34.63193019471431
259,10.72601874551561
260,inf
261,inf
262,2.862280311972249
263,2.29367693085014
264,1.877989160856388
265,2.6907982596680933
266,3.5699982489266517
267,3.829240814609425
268,3.0864802575311154
269,2.297773347314158
270,2.134612362239227
271,2.0188727728966915
272,2.5838632053162613
273,1.8429452940954463
274,5.635168048683765
275,inf
276,3.641858690460262
277,3.266304589132539
278,2.8145456852532367
279,1.8467177703466373
280,15.163339948759534
281,9.36737920197242
282,inf
283,inf
284,11.203825348881544
285,inf
286,6.285132921869851
287,inf
288,inf
289,inf
290,12.837035569557154
291,inf
292,6.528663953088765
293,2.709376096875627
294,inf
295,26.553413360803425
296,inf
297,inf
298,7.467752057270518
299,11.099433571433954
300,inf
301,inf
302,2.5714149876130508
