,0
0,2.2372727655774693
1,2.655934255942093
2,12.556354590044549
3,2.350461667532425
4,0.9959763684406501
5,
6,
7,5.579980224679132
8,0.5383405116842126
9,0.945425916351225
10,1.011684566031779
11,0.4719021097299096
12,0.540140783687878
13,1.5237811532272463
14,3.1690606544955524
15,
16,0.49957481693065436
17,1.0785683973031075
18,
19,1.8607646708560632
20,2.196995395846998
21,0.5983480014771908
22,
23,2.70433955277649
24,
25,
26,15.689516094271372
27,0.2831858820902389
28,0.24431927732328543
29,10.955107525160264
30,1.8182862539668423
31,
32,
33,
34,
35,
36,0.743700028106331
37,
38,
39,0.30394863492343044
40,
41,
42,0.7562436076500428
43,1.6210670086235146
44,
45,0.4139968982081682
46,0.37833306764898716
47,0.36275037561129764
48,
49,3.782855835851031
50,0.331907926635463
51,
52,
53,0.6671685477142838
54,1.1626680766825448
55,
56,
57,17.680705673378608
58,0.7568868712417897
59,1.9924738558789512
60,1.6085768608466626
61,5.975044024168897
62,1.1708085471083647
63,4.063910567158188
64,1.0414783149207003
65,
66,2.378610474989132
67,
68,
69,10.629091410325126
70,0.09897384796406967
71,0.13107611423239604
72,
73,
74,0.5959200982576928
75,0.19795714803099881
76,0.2799355307729252
77,0.6489391377632837
78,0.2784934390255573
79,0.3017499419740114
80,3.7263008490425893
81,0.3949857316919803
82,
83,0.09677936949842181
84,0.9624783603333206
85,0.7381883626745737
86,0.2186663551343297
87,
88,
89,0.5531873682075872
90,
91,0.7898846044100372
92,1.6792196497723118
93,2.7649255720137105
94,1.7575953056821723
95,
96,2.6437173442446364
97,0.8965944992122127
98,
99,0.6639987204962999
100,
101,
102,1.2105042934354084
103,
104,2.2398626498209167
105,1.9350997121705718
106,0.022830790156726073
107,0.031024846264743437
108,0.037684082165470555
109,0.04316779133902134
110,1.4780372820554117
111,
112,0.5068387819702991
113,0.4411319892113631
114,1.342916426565674
115,3.3395524887270454
116,0.36347152929929755
117,
118,
119,0.32536741912758593
120,
121,
122,5.160014948725976
123,0.7552837962197713
124,1.7624247814453562
125,3.5432327747507495
126,0.41012059179028454
127,5.59847538397083
128,1.5555190388750602
129,0.7945810692013344
130,1.0129624499503984
131,
132,
133,0.9828315438225933
134,0.21004205673416063
135,2.3834852278250747
136,0.6751507903795064
137,14.24237390380049
138,1.0810608856304529
139,0.885429468059814
140,4.133956112842299
141,17.65325939136166
142,13.92621888844166
143,5.159823447920112
144,5.266125855444008
145,0.9291166196034925
146,
147,
148,
