,0
0,2.1973229231851903
1,2.2011161524675917
2,2.400114918752631
3,2.393675010139711
4,2.819902097194295
5,2.1017087109453376
6,2.4400480065639982
7,2.224376263619407
8,2.456608451097622
9,2.3389153964073417
10,2.466038703414033
11,2.210059266941585
12,2.4840709814036988
13,2.2162462998999937
14,2.14619149015573
15,2.224877222956034
16,2.3217356214013782
17,2.3138344508535273
18,2.3168188915288495
19,2.322789286510927
20,2.3199793891494553
21,2.3868259628349398
22,2.3601823763411676
23,2.2759056605724246
24,2.4240730903436645
25,2.329638360357573
26,2.318125875821738
27,2.3144949404300235
28,2.3332202543035696
29,2.2518923670325157
30,2.4912729682888783
31,2.1536319340254395
32,2.3696784129424704
33,2.1640945588101275
34,2.2737647535476535
35,2.2587372212798487
36,2.2388719770379195
37,2.3743216588098384
38,2.3509356841033915
39,2.4203500262312816
40,2.3420352645326274
41,2.2792588126952413
42,2.269964261417486
43,2.373018173236603
44,2.208441633697741
45,2.2360866181560373
46,2.3217503077316586
47,2.2577408751526016
48,2.0178132138939495
49,2.2883816757381026
50,2.1771744321836675
51,2.2781511312832885
