,roc_auc,average_precision,accuracy,precision,f1,detected_anomalies,fit_time
0,0.5433185235816815,0.09671668234868319,0.8864071474154436,0.14423076923076922,0.14423076923076922,104.0,0.5038082599639893
1,0.5677743309322256,0.09648902334297366,0.8825781748564135,0.11538461538461539,0.11538461538461539,104.0,0.503546953201294
2,0.5608339029391661,0.09440602350031907,0.8813018506700702,0.10576923076923077,0.10576923076923077,104.0,0.48386693000793457
3,0.5582180976917819,0.10164900602607618,0.8800255264837269,0.09615384615384616,0.09615384615384616,104.0,0.47911858558654785
4,0.5593025395656974,0.09833552697165365,0.8825781748564135,0.11538461538461539,0.11538461538461539,104.0,0.4781632423400879
5,0.5635154319364846,0.09590863954804119,0.8813018506700702,0.10576923076923077,0.10576923076923077,104.0,0.4682881832122803
6,0.5505152741994848,0.09904666231421402,0.8825781748564135,0.11538461538461539,0.11538461538461539,104.0,0.4749948978424072
7,0.5349584625900417,0.08940050636308829,0.8800255264837269,0.09615384615384616,0.09615384615384616,104.0,0.46657395362854004
8,0.5478403175771597,0.09225900708135674,0.8800255264837269,0.09615384615384616,0.09615384615384616,104.0,0.46095824241638184
9,0.5474788369525212,0.09639817973345913,0.8838544990427568,0.125,0.125,104.0,0.4620018005371094
