,0
0,2.7830590369290014
1,2.216215529003579
2,3.21371888122349
3,4.1270643234315045
4,2.0710490920586366
5,2.5469976442665896
6,3.975760151209721
7,3.467993976159549
8,2.2369280625343633
9,2.5896169843495813
10,3.778373340467011
11,1.9120484761155787
12,4.533504071476319
13,2.0096947836095627
14,1.9561158634914342
15,4.225531793276164
16,2.1429133314085673
17,3.425249950093389
18,3.5790502862850944
19,4.549845669617606
20,4.001175310075448
21,4.206924636378974
22,3.4239160529645596
23,2.6500303785865347
24,3.4667121017521936
25,2.463531748656325
26,3.625336365603167
27,2.7696011439417463
28,3.6326934914435247
29,3.049140623434434
30,3.481769334401662
31,2.3890821292409763
32,3.9191548824692353
33,2.4697250420360986
34,3.5171107856415786
35,2.4853291076681545
36,2.002944387399045
37,3.6364072409320825
38,1.9916890708762192
39,2.361729472088643
40,2.336569676347789
41,2.839352885465424
42,4.030319073623555
43,3.5469723226535947
44,3.4840691502584358
45,5.198782867644395
46,3.531481040358041
47,1.8860226633028745
48,2.0751656925008506
49,3.179962318221124
50,3.4413921057766137
51,2.1879714954811265
