,roc_auc,average_precision,accuracy,precision,f1,detected_anomalies,fit_time
0,0.7206851047619046,0.10339788503470694,0.9294246575342465,0.14133333333333334,0.14133333333333334,1500.0,1.3337047100067139
1,0.7594640190476191,0.1271470820693942,0.9315068493150684,0.16666666666666666,0.16666666666666666,1500.0,1.3854496479034424
2,0.7281945714285714,0.11082052717417976,0.9298630136986301,0.14666666666666667,0.14666666666666667,1500.0,1.3194928169250488
3,0.7349730095238095,0.11220260109130545,0.9307397260273973,0.15733333333333333,0.15733333333333333,1500.0,1.2349581718444824
4,0.6901571047619048,0.09192549766479388,0.9281643835616439,0.126,0.126,1500.0,1.242269515991211
5,0.7342868190476192,0.10962963182651708,0.9303561643835616,0.15266666666666667,0.15266666666666667,1500.0,1.3109712600708008
6,0.6976611428571429,0.09446525654988769,0.9291506849315069,0.138,0.138,1500.0,1.4771771430969238
7,0.7031514285714285,0.10133232204181092,0.930082191780822,0.14933333333333335,0.14933333333333335,1500.0,1.3095359802246094
8,0.7204599047619047,0.1018322894014334,0.9293150684931507,0.14,0.14,1500.0,1.3327581882476807
9,0.7433430666666667,0.11074660394439478,0.9304657534246575,0.154,0.154,1500.0,1.423044204711914
