,roc_auc,average_precision,accuracy,precision,f1,detected_anomalies,fit_time
0,0.6892623142857142,0.12257365036012594,0.9335342465753425,0.19133333333333333,0.19133333333333333,1500.0,1.364884614944458
1,0.6961025428571428,0.11975356433526865,0.9334794520547945,0.19066666666666668,0.19066666666666668,1500.0,1.4037392139434814
2,0.7075688285714287,0.14372055703598582,0.9348493150684931,0.20733333333333334,0.20733333333333334,1500.0,1.300795078277588
3,0.6924799714285714,0.11928491962670364,0.9331506849315069,0.18666666666666668,0.18666666666666668,1500.0,1.3376362323760986
4,0.7060093238095239,0.13690369876640063,0.934027397260274,0.19733333333333333,0.19733333333333333,1500.0,1.3168160915374756
5,0.7041542761904763,0.14267948978943493,0.9353424657534246,0.21333333333333335,0.21333333333333335,1500.0,1.3148815631866455
6,0.699453057142857,0.13306455617423113,0.933972602739726,0.19666666666666666,0.19666666666666666,1500.0,1.313455581665039
7,0.6894617619047618,0.12266021235060433,0.9337534246575342,0.194,0.194,1500.0,1.3096051216125488
8,0.702047457142857,0.12729956448249008,0.934027397260274,0.19733333333333333,0.19733333333333333,1500.0,1.295513391494751
9,0.6904180095238095,0.11301753086446903,0.9323835616438356,0.17733333333333334,0.17733333333333334,1500.0,1.2929682731628418
