,0
0,5.165201553661443
1,2.066693845416936
2,2.491426438214318
3,3.6634874886414357
4,2.1903909424857777
5,2.0942062479587986
6,3.609943174383358
7,2.313232342037348
8,2.194628305810709
9,2.564509120266611
10,2.932685066629389
11,2.150456708825088
12,3.1212525408166996
13,2.228174110050655
14,1.9994718678307237
15,3.1705914234174073
16,2.2975417913151865
17,3.829202048576022
18,3.6445972257315473
19,3.504585153847318
20,2.693977549575503
21,2.277279831713363
22,2.92541150921915
23,2.125702296602073
24,2.9989252190683393
25,2.06079165542827
26,2.658948867667841
27,2.3474945172348454
28,3.29458044070966
29,2.6401803086963094
30,3.568615297771303
31,1.968688735743682
32,2.7947126765524275
33,2.436625007401539
34,2.59941169007793
35,2.130175799105655
36,2.1600075583276426
37,3.161253575262885
38,2.0875842225235095
39,2.2592968161834284
40,2.33250622539699
41,2.152422646275201
42,2.399041148392252
43,6.065610100369037
44,2.6021358336205136
45,2.6574661972096516
46,2.438438776491356
47,2.062074182144772
48,1.9850995494482824
49,3.72845584651954
50,1.986423052921186
51,2.1712538862750685
