,0
0,0.5487180353206245
1,0.08782671711772207
2,0.07669392679737998
3,0.29105991083132526
4,0.14022441256151355
5,0.08107564057533476
6,0.3623621687449677
7,0.11335404819991764
8,0.1314004876402273
9,0.14413638805156062
10,0.2202142366246743
11,0.09048797798627116
12,0.24465873985964104
13,0.09487815518088048
14,0.059562864104911135
15,0.2733740663207097
16,0.07814508512473456
17,0.3273077064525507
18,0.231693800552358
19,0.3278326985543908
20,0.12528101378651613
21,0.10380326955761345
22,0.18124506168517332
23,0.12408682139340588
24,0.1413286401505161
25,0.10920341902543512
26,0.12414471217205064
27,0.07550561234119518
28,0.1379705244243058
29,0.17220357063829353
30,0.2332661594732722
31,0.0848281106930896
32,0.19727575444747006
33,0.1395060484268996
34,0.09088335052901038
35,0.0871889014870997
36,0.09259119682667634
37,0.21691184528792093
38,0.062456005311649646
39,0.10848445407291542
40,0.1275431401420964
41,0.08437778253458544
42,0.06695223230126324
43,0.5145719839958385
44,0.11115557114092842
45,0.1482628172347876
46,0.10598743681397896
47,0.10555305181115718
48,0.1652890308225215
49,0.2653174660989279
50,0.08157686929761145
51,0.12334849396029926
